,ts_code,trade_date,close,open,high,low,change,vol,amount
7,002023.SZ,20180928,11.06,11.31,12.44,10.76,-0.24,379843178.0,4370052593.46
8,002023.SZ,20180831,11.3,12.15,13.07,11.25,-1.1,633166657.0,7792416095.2
9,002023.SZ,20180731,12.4,12.35,14.37,12.21,-0.14,1096251877.0,14553973910.88
10,002023.SZ,20180629,12.54,13.2,13.54,10.43,-0.76,852677648.0,10360574451.51
11,002023.SZ,20180531,13.3,12.02,15.58,11.5,1.28,1470684021.0,19498239331.68
12,002023.SZ,20180427,12.02,10.15,14.08,9.54,2.03,1076998273.0,12364109425.88
13,002023.SZ,20180330,9.99,9.3,10.2,8.22,0.6,302108307.0,2863390500.94
14,002023.SZ,20180228,9.39,9.36,9.75,7.7,0.03,189827806.0,1716133259.53
15,002023.SZ,20180131,9.36,10.36,10.63,9.35,-0.95,211717609.0,2135800852.7
0,300397.SZ,20190430,21.74,24.25,29.49,21.09,-2.08,208429999.0,5166573150.18
1,300397.SZ,20190329,23.82,19.8,24.7,17.46,4.88,282709555.0,6145461844.65
2,300397.SZ,20190228,18.94,9.27,18.94,8.9,9.77,154908973.0,2216515306.79
3,300397.SZ,20190131,9.17,9.38,10.95,9.06,-0.26,56896472.0,579302213.92
4,300397.SZ,20181228,9.43,10.26,10.56,9.35,-0.64,30882378.0,306929781.43
5,300397.SZ,20181130,10.07,9.5,10.97,9.5,0.57,52720827.0,541807635.98
6,300397.SZ,20181031,9.5,11.23,11.94,8.66,-1.95,34941699.0,344849965.07
7,300397.SZ,20180928,11.45,11.1,12.55,11.04,0.37,44735590.0,517003514.39
8,300397.SZ,20180831,11.08,12.9,12.98,10.9,-1.97,49460452.0,577732879.06
9,300397.SZ,20180731,13.05,11.98,13.49,11.29,1.04,73060965.0,908529108.7
10,300397.SZ,20180629,12.01,14.56,14.83,11.01,-2.46,37623862.0,483834831.81
11,300397.SZ,20180531,14.47,16.12,16.81,14.0,-1.66,58328145.0,911210299.9
12,300397.SZ,20180427,16.13,18.36,19.57,15.9,-2.2,110569775.0,1999494429.1
13,300397.SZ,20180330,18.33,16.72,18.34,15.72,1.41,105286344.0,1804514100.55
14,300397.SZ,20180228,16.92,18.2,18.75,14.17,-1.84,47424671.0,756079364.01
15,300397.SZ,20180131,18.76,19.28,21.43,18.11,-0.55,70296935.0,1367735663.54
0,600862.SH,20190430,9.31,9.8,12.41,8.92,-0.48,563131801.0,6093817649.0
1,600862.SH,20190329,9.79,8.04,10.2,7.61,1.75,647633472.0,5771438449.0
2,600862.SH,20190228,8.04,6.71,8.32,6.66,1.31,304105096.0,2284623982.0
3,600862.SH,20190131,6.73,5.61,7.4,5.58,1.13,342675001.0,2275752665.0
4,600862.SH,20181228,5.6,6.32,6.35,5.48,-0.58,124766320.0,740349557.0
5,600862.SH,20181130,6.18,5.15,7.08,5.13,1.05,316412678.0,1955773067.0
6,600862.SH,20181031,5.13,5.88,5.97,4.69,-0.86,70724457.0,364615287.0
7,600862.SH,20180928,5.99,5.87,6.22,5.67,0.13,110326315.0,665056709.0
8,600862.SH,20180831,5.86,6.58,6.64,5.81,-0.72,101025680.0,611819838.0
9,600862.SH,20180731,6.58,6.11,6.9,5.99,0.43,158424183.0,1032339233.0
10,600862.SH,20180629,6.15,7.72,7.75,5.84,-1.64,83330207.0,557498259.0
11,600862.SH,20180531,7.79,8.11,8.54,7.52,-0.33,98393104.0,790935726.0
12,600862.SH,20180427,8.12,8.75,9.3,8.04,-0.68,144526958.0,1275148380.0
13,600862.SH,20180330,8.8,8.3,8.93,7.7,0.41,152308999.0,1285629788.0
